"common.name","native.US","status.SEAZ","diet","group"
"Grasshopper Sparrow","Native","Winter",NA,"SparrowEtAl"
"Gray Flycatcher","Native","Winter","Aerial arthropods","Flycatcher"
"Gray Hawk","Native","Breeding",NA,"Raptor"
"Great-tailed Grackle","Native","Year-Round","Omnivorous","Icterid"
"Great Blue Heron","Native","Year-Round","Aquatic","WadingBird"
"Great Egret","Native","Winter","Aquatic","WadingBird"
"Great Horned Owl","Native","Year-Round","Vertebrates","Owl"
"Greater Roadrunner","Native","Year-Round","Ground arthropods","CuckooEtAl"
"Greater Yellowlegs","Native","Migrant",NA,"Shorebird"
"Green-tailed Towhee","Native","Winter","Ground arthropods","SparrowEtAl"
"Green-winged Teal","Native","Winter","Aquatic","DuckEtAl"
"Green Heron","Native","Year-Round","Aquatic","WadingBird"
"Hammond's Flycatcher","Native","Migrant",NA,"Flycatcher"
"Harris's Hawk","Native","Year-Round","Vertebrates","Raptor"
"Harris's Sparrow","Native","Rarity",NA,"SparrowEtAl"
"Hermit Thrush","Native","Winter",NA,"Thrush"
"Hermit Warbler","Native","Migrant",NA,"Warbler"
"Hooded Merganser","Native","Winter",NA,"DuckEtAl"
"Hooded Oriole","Native","Breeding","Foliage arthropods","Icterid"
"Horned Lark","Native","Year-Round","Seeds","Lark"
"House Finch","Native","Year-Round","Seeds","Finch"
"House Sparrow","Non-native","Year-Round","Seeds","SparrowEtAl"
"House Wren","Native","Winter","Ground arthropods","Wren"
"Hutton's Vireo","Native","Migrant",NA,"ShrikeVireo"
"Inca Dove","Native","Year-Round","Seeds","DovePigeon"
"Indigo Bunting","Native","Breeding",NA,"TanagerCardinalEtAl"
"Killdeer","Native","Year-Round","Ground arthropods","Shorebird"
"Ladder-backed Woodpecker","Native","Year-Round","Trunk arthropods","Woodpecker"
"Lark Bunting","Native","Winter","Ground arthropods","SparrowEtAl"
"Lark Sparrow","Native","Winter","Seeds","SparrowEtAl"
"Lawrence's Goldfinch","Native","Winter",NA,"Finch"
"Lazuli Bunting","Native","Migrant","Ground arthropods","TanagerCardinalEtAl"
"Least Bittern","Native","Rarity",NA,"WadingBird"
"Least Grebe","Native","Rarity",NA,"DuckEtAl"
"Least Sandpiper","Native","Winter","Ground arthropods","Shorebird"
"Lesser Goldfinch","Native","Year-Round","Seeds","Finch"
"Lesser Nighthawk","Native","Breeding","Aerial arthropods","GoatsuckerSwift"
"Lesser Scaup","Native","Winter",NA,"DuckEtAl"
"Lesser Yellowlegs","Native","Migrant",NA,"Shorebird"
