common.name,native.US,status.SEAZ,diet,group
Green Heron,Native,Year-Round,Aquatic,WadingBird
Green-tailed Towhee,Native,Winter,Ground arthropods,SparrowEtAl
Green-winged Teal,Native,Winter,Aquatic,DuckEtAl
Hammond's Flycatcher,Native,Migrant,,Flycatcher
Harris's Hawk,Native,Year-Round,Vertebrates,Raptor
Harris's Sparrow,Native,Rarity,,SparrowEtAl
Hermit Thrush,Native,Winter,,Thrush
Hermit Warbler,Native,Migrant,,Warbler
Hooded Merganser,Native,Winter,,DuckEtAl
Hooded Oriole,Native,Breeding,Foliage arthropods,Icterid
Horned Lark,Native,Year-Round,Seeds,Lark
House Finch,Native,Year-Round,Seeds,Finch
House Sparrow,Non-native,Year-Round,Seeds,SparrowEtAl
House Wren,Native,Winter,Ground arthropods,Wren
Hutton's Vireo,Native,Migrant,,ShrikeVireo
Inca Dove,Native,Year-Round,Seeds,DovePigeon
Indigo Bunting,Native,Breeding,,TanagerCardinalEtAl
Killdeer,Native,Year-Round,Ground arthropods,Shorebird
Ladder-backed Woodpecker,Native,Year-Round,Trunk arthropods,Woodpecker
Lark Bunting,Native,Winter,Ground arthropods,SparrowEtAl
Lark Sparrow,Native,Winter,Seeds,SparrowEtAl
Lawrence's Goldfinch,Native,Winter,,Finch
Lazuli Bunting,Native,Migrant,Ground arthropods,TanagerCardinalEtAl
Least Bittern,Native,Rarity,,WadingBird
Least Flycatcher,Native,Rarity,,Flycatcher
Least Grebe,Native,Rarity,,DuckEtAl
Least Sandpiper,Native,Winter,Ground arthropods,Shorebird
Lesser Goldfinch,Native,Year-Round,Seeds,Finch
Lesser Nighthawk,Native,Breeding,Aerial arthropods,GoatsuckerSwift
Lesser Scaup,Native,Winter,,DuckEtAl
Lesser Yellowlegs,Native,Migrant,,Shorebird
Lewis's Woodpecker,Native,Winter,,Woodpecker
Lincoln's Sparrow,Native,Winter,Ground arthropods,SparrowEtAl
Loggerhead Shrike,Native,Year-Round,Ground arthropods,ShrikeVireo
Long-billed Dowitcher,Native,Winter,,Shorebird
Long-eared Owl,Native,Year-Round,,Owl
Louisiana Waterthrush,Native,Rarity,,Warbler
Lucy's Warbler,Native,Breeding,Foliage arthropods,Warbler
MacGillivray's Warbler,Native,Migrant,Foliage arthropods,Warbler
Mallard,Native,Year-Round,Aquatic,DuckEtAl
Marsh Wren,Native,Winter,Ground arthropods,Wren
Merlin,Native,Winter,,Raptor
Mexican Jay,Native,Year-Round,Omnivorous,JayRaven
Mexican Duck,Native,Year-Round,Aquatic,DuckEtAl
Montezuma Quail,Native,Year-Round,,Quail
Mountain Bluebird,Native,Winter,,Thrush
Mourning Dove,Native,Year-Round,Seeds,DovePigeon
Nashville Warbler,Native,Migrant,Foliage arthropods,Warbler
Neotropic Cormorant,Native,Migrant,,PelicanEtAl
Northern Beardless-Tyrannulet,Native,Breeding,Aerial arthropods,Flycatcher
Northern Cardinal,Native,Year-Round,Ground arthropods,TanagerCardinalEtAl
Northern Flicker,Native,Winter,Ground arthropods,Woodpecker
Northern Goshawk,Native,Year-Round,,Raptor
Northern Harrier,Native,Winter,Vertebrates,Raptor
Northern Mockingbird,Native,Year-Round,Ground arthropods,Mimid
Northern Parula,Native,Rarity,,Warbler
Northern Pintail,Native,Winter,Aquatic,DuckEtAl
Northern Rough-winged Swallow,Native,Breeding,Aerial arthropods,Swallow
Northern Shoveler,Native,Winter,Aquatic,DuckEtAl
Northern Waterthrush,Native,Rarity,,Warbler
Olive-sided Flycatcher,Native,Migrant,,Flycatcher
Orange-crowned Warbler,Native,Winter,Foliage arthropods,Warbler
Osprey,Native,Migrant,,Raptor
Pacific-slope Flycatcher,Native,Breeding,,Flycatcher
Painted Redstart,Native,Breeding,,Warbler
Pectoral Sandpiper,Native,Rarity,,Shorebird
Peregrine Falcon,Native,Year-Round,Vertebrates,Raptor
Phainopepla,Native,Year-Round,Fruits,Phainopepla
Pied-billed Grebe,Native,Year-Round,,DuckEtAl
Pine Siskin,Native,Year-Round,,Finch
Plumbeous Vireo,Native,Migrant,Foliage arthropods,ShrikeVireo
Prairie Falcon,Native,Year-Round,Vertebrates,Raptor
Purple Martin,Native,Breeding,Aerial arthropods,Swallow
Pyrrhuloxia,Native,Year-Round,Seeds,TanagerCardinalEtAl
Red Crossbill,Native,Winter,Seeds,Finch
Red-breasted Merganser,Native,Rarity,,DuckEtAl
Red-breasted Nuthatch,Native,Year-Round,,NuthatchCreeper
